© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
UVB-Induced MAPK Signaling	9.91E-01	8.33E-02	2.000	PIK3CG,PIK3R1,PIK3R5,PRKCB	
Prostate Cancer Signaling	9.83E-01	6.54E-02	NaN	HSP90AB1,HSP90B1,PIK3CG,PIK3R1,PIK3R5,RAP1B,RBL2	
Acute Myeloid Leukemia Signaling	9.79E-01	6.9E-02	2.449	KIT,MAP2K3,PIK3CG,PIK3R1,PIK3R5,RAP1B	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	9.75E-01	1.33E-01	NaN	CCL4,CCL5	
Adrenomedullin signaling pathway	9.75E-01	5.85E-02	3.162	Calm1 (includes others),MAP2K3,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB,PRKAR1A,PTK2B,RAP1B	
Protein Citrullination	9.67E-01	3.33E-01	NaN	PADI2	
NADH Repair	9.67E-01	3.33E-01	NaN	GAPDH	
Antiproliferative Role of Somatostatin Receptor 2	9.63E-01	7.35E-02	2.236	GNB1,PIK3CG,PIK3R1,PIK3R5,RAP1B	
TNFR2 Signaling	9.39E-01	9.38E-02	NaN	MAP3K1,TNFRSF1B,TRAF1	
UVA-Induced MAPK Signaling	9.24E-01	6.67E-02	2.236	BCL2L1,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAP1B	
Non-Small Cell Lung Cancer Signaling	9.1E-01	6.59E-02	2.000	CCND3,PIK3CG,PIK3R1,PIK3R5,RAP1B,RBL2	
Phototransduction Pathway	9.1E-01	9.09E-02	NaN	GNB1,PRKACB,PRKAR1A	
Renal Cell Carcinoma Signaling	9.07E-01	7.04E-02	2.236	PIK3CG,PIK3R1,PIK3R5,RAP1B,RAPGEF1	
NGF Signaling	9.07E-01	6.25E-02	2.646	MAP3K1,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAP1B,RHOA	
FGF Signaling	9.07E-01	7.04E-02	2.236	MAP2K3,MAP3K1,PIK3CG,PIK3R1,PIK3R5	
Hypoxia Signaling in the Cardiovascular System	9.07E-01	7.04E-02	NaN	HSP90AB1,HSP90B1,P4HB,UBE2D3,UBE2G2	
Xenobiotic Metabolism Signaling	9E-01	5.41E-02	NaN	CAMK2G,HS3ST3B1,HSP90AB1,HSP90B1,MAP2K3,MAP3K1,PIK3CG,PIK3R1,PIK3R5,PPM1J,PRKCB,RAP1B	
Protein Ubiquitination Pathway	8.96E-01	5.31E-02	NaN	B2M,CBL,DNAJC1,DNAJC15,HLA-A,HSP90AB1,HSP90B1,HSPA8,HSPH1,UBA1,UBE2D3,UBE2G2,USP48	
Xenobiotic Metabolism General Signaling Pathway	8.93E-01	6.19E-02	2.646	MAP2K3,MAP3K1,PIK3CG,PIK3R1,PIK3R5,PRKCB,RAP1B	
TR/RXR Activation	8.86E-01	6.94E-02	NaN	ENO1,PFKP,PIK3CG,PIK3R1,PIK3R5	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	8.86E-01	1.18E-01	NaN	CCL4,CCL5	
Arginine Biosynthesis IV	8.51E-01	2.5E-01	NaN	GLUD1	
Spermine and Spermidine Degradation I	8.51E-01	2.5E-01	NaN	SAT1	
Endocannabinoid Neuronal Synapse Pathway	8.48E-01	6.03E-02	1.134	GNB1,GRINA,PLCG2,PPP3CA,PPP3CC,PRKACB,PRKAR1A	
IL-6 Signaling	8.36E-01	5.98E-02	2.646	IL18RAP,MAP2K3,PIK3CG,PIK3R1,PIK3R5,RAP1B,TNFRSF1B	
Inflammasome pathway	8.07E-01	1.05E-01	NaN	CASP1,PYCARD	
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	8.01E-01	8.11E-02	NaN	MEF2A,PCGF6,WWP2	
OX40 Signaling Pathway	7.9E-01	7.02E-02	NaN	B2M,BCL2L1,FCER1G,HLA-A	
Ovarian Cancer Signaling	7.85E-01	5.59E-02	2.449	CD44,PIK3CG,PIK3R1,PIK3R5,PRKACB,PRKAR1A,RAP1B,RBL2	
Endometrial Cancer Signaling	7.72E-01	6.9E-02	2.000	PIK3CG,PIK3R1,PIK3R5,RAP1B	
CDP-diacylglycerol Biosynthesis I	7.72E-01	1E-01	NaN	AGPAT3,CDS2	
Arsenate Detoxification I (Glutaredoxin)	7.62E-01	2E-01	NaN	AS3MT	
Atherosclerosis Signaling	7.59E-01	5.94E-02	NaN	CCR2,CMA1,ICAM1,ITGA4,ITGB2,SELPLG	
Dilated Cardiomyopathy Signaling Pathway	7.45E-01	5.88E-02	1.000	ACTB,ACTG1,CAMK2G,MYL6,PRKACB,PRKAR1A	
RAR Activation	7.38E-01	5.29E-02	NaN	ACTB,DHRS3,MAP3K1,PIK3CG,PIK3R1,PRKACB,PRKAR1A,PRKCB,SMAD3	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	7.33E-01	5.83E-02	2.449	JAK1,PIK3CG,PIK3R1,PIK3R5,RAP1B,TYK2	
Erythropoietin Signaling Pathway	7.17E-01	5.37E-02	2.121	BCL2L1,FASLG,PIK3CG,PIK3R1,PIK3R5,PRKCB,RAC2,RAP1B	
Oncostatin M Signaling	7.1E-01	7.32E-02	NaN	JAK1,RAP1B,TYK2	
Relaxin Signaling	7.1E-01	5.51E-02	2.646	GNB1,PIK3CG,PIK3R1,PIK3R5,PRKACB,PRKAR1A,RAP1B	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	7.06E-01	9.09E-02	NaN	AGPAT3,CDS2	
Chondroitin and Dermatan Biosynthesis	6.9E-01	1.67E-01	NaN	CHSY1	
Selenocysteine Biosynthesis II (Archaea and Eukaryotes)	6.9E-01	1.67E-01	NaN	SEPHS2	
Glycogen Biosynthesis II (from UDP-D-Glucose)	6.9E-01	1.67E-01	NaN	GYG1	
April Mediated Signaling	6.88E-01	7.14E-02	NaN	MAP3K1,NFATC1,TRAF1	
Hereditary Breast Cancer Signaling	6.88E-01	5.43E-02	NaN	ACTB,CCND3,PIK3CG,PIK3R1,PIK3R5,RAP1B,RFC2	
Induction of Apoptosis by HIV1	6.84E-01	6.35E-02	1.000	BCL2L1,FASLG,TNFRSF1B,TRAF1	
TGF-β Signaling	6.78E-01	5.88E-02	2.236	MAP2K3,RAP1B,RUNX2,RUNX3,SMAD3	
B Cell Activating Factor Signaling	6.68E-01	6.98E-02	NaN	MAP3K1,NFATC1,TRAF1	
Tumor Microenvironment Pathway	6.56E-01	5.16E-02	2.121	CD44,FASLG,HLA-A,ICAM1,PIK3CG,PIK3R1,PIK3R5,RAP1B	
VDR/RXR Activation	6.52E-01	6.15E-02	0.000	CCL5,MXD1,PRKCB,RUNX2	
Death Receptor Signaling	6.38E-01	5.68E-02	2.236	ACTB,ACTG1,FASLG,SPTAN1,TNFRSF1B	
Cardiac β-adrenergic Signaling	6.35E-01	5.22E-02	0.000	ATP2A3,GNB1,PPM1J,PPP1CA,PPP1R12A,PRKACB,PRKAR1A	
Sucrose Degradation V (Mammalian)	6.33E-01	1.43E-01	NaN	TPI1	
Salvage Pathways of Pyrimidine Deoxyribonucleotides	6.33E-01	1.43E-01	NaN	APOBEC3B	
Lipid Antigen Presentation by CD1	6.23E-01	8E-02	NaN	B2M,FCER1G	
Role of JAK family kinases in IL-6-type Cytokine Signaling	6.23E-01	8E-02	NaN	JAK1,TYK2	
Sonic Hedgehog Signaling	6.23E-01	8E-02	NaN	PRKACB,PRKAR1A	
Endothelin-1 Signaling	6.18E-01	5.03E-02	2.828	CASP1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PLD3,PRKCB,RAP1B	
Amyloid Processing	6.13E-01	6.52E-02	NaN	CAPN2,PRKACB,PRKAR1A	
CREB Signaling in Neurons	6.09E-01	4.42E-02	4.359	ADGRE5,ADORA2A,Calm1 (includes others),CAMK2G,CCR2,CCR5,CX3CR1,F2R,GNB1,GPR171,P2RY10,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB,PRKAR1A,PRKCB,RAP1B,S1PR5	
Estrogen-Dependent Breast Cancer Signaling	6.07E-01	5.88E-02	2.000	PIK3CG,PIK3R1,PIK3R5,RAP1B	
Apelin Adipocyte Signaling Pathway	5.93E-01	5.8E-02	NaN	PRKAB1,PRKACB,PRKAR1A,RAC2	
Oleate Biosynthesis II (Animals)	5.82E-01	1.25E-01	NaN	Scd2	
Thyroid Cancer Signaling	5.65E-01	5.63E-02	2.000	PIK3CG,PIK3R1,PIK3R5,RAP1B	
EIF2 Signaling	5.65E-01	4.76E-02	2.449	ACTB,PIK3CG,PIK3R1,PIK3R5,PPP1CA,RAP1B,RPL9,RPS12,RPS18	
Toll-like Receptor Signaling	5.65E-01	5.63E-02	NaN	IRAK2,MAP2K3,MAP3K1,TRAF1	
G-Protein Coupled Receptor Signaling	5.62E-01	4.62E-02	NaN	ADORA2A,CAMK2G,FYN,PIK3CG,PIK3R1,PIK3R5,PRKACB,PRKAR1A,PRKCB,PTK2B,RAP1B	
Iron homeostasis signaling pathway	5.59E-01	5.08E-02	NaN	ATP6V0A2,FTH1,JAK1,SMAD3,TCIRG1,TYK2	
Antigen Presentation Pathway	5.53E-01	7.14E-02	NaN	B2M,HLA-A	
PPAR Signaling	5.44E-01	5.21E-02	-2.236	HSP90AB1,HSP90B1,IL18RAP,RAP1B,TNFRSF1B	
Leukotriene Biosynthesis	5.39E-01	1.11E-01	NaN	LTA4H	
Inhibition of ARE-Mediated mRNA Degradation Pathway	5.38E-01	4.86E-02	1.890	FASLG,PPM1J,PRKACB,PRKAR1A,TNFRSF1B,YWHAB,YWHAQ	
Circadian Rhythm Signaling	5.32E-01	6.9E-02	NaN	BHLHE40,GRINA	
Pyrimidine Ribonucleotides Interconversion	5.32E-01	6.9E-02	NaN	CMPK1,ENTPD1	
Cancer Drug Resistance By Drug Efflux	5.3E-01	5.88E-02	NaN	PIK3CG,PIK3R1,RAP1B	
PCP pathway	5.16E-01	5.77E-02	NaN	JUNB,PFN1,RHOA	
Glutamate Receptor Signaling	5.16E-01	5.77E-02	NaN	Calm1 (includes others),GNB1,GRINA	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	5.16E-01	5.77E-02	NaN	PLCG2,PRKACB,PRKAR1A	
BMP signaling pathway	5.03E-01	5.26E-02	2.000	PRKACB,PRKAR1A,RAP1B,RUNX2	
Acyl-CoA Hydrolysis	5E-01	1E-01	NaN	ACOT7	
Inhibition of Angiogenesis by TSP1	4.92E-01	6.45E-02	NaN	CD47,FYN	
Role of JAK2 in Hormone-like Cytokine Signaling	4.92E-01	6.45E-02	NaN	JAK1,TYK2	
Pyrimidine Ribonucleotides De Novo Biosynthesis	4.92E-01	6.45E-02	NaN	CMPK1,ENTPD1	
Huntington's Disease Signaling	4.78E-01	4.38E-02	2.121	BCL2L1,CAPN2,CASP1,CLTC,CTSD,GNB1,HSPA8,PIK3CG,PIK3R1,PIK3R5,PRKCB	
Aryl Hydrocarbon Receptor Signaling	4.75E-01	4.72E-02	-0.816	CCND3,CTSD,FASLG,HSP90AB1,HSP90B1,RBL2	
Chondroitin Sulfate Biosynthesis (Late Stages)	4.75E-01	6.25E-02	NaN	CHSY1,HS3ST3B1	
CD27 Signaling in Lymphocytes	4.74E-01	5.45E-02	NaN	BCL2L1,MAP2K3,MAP3K1	
4-1BB Signaling in T Lymphocytes	4.57E-01	6.06E-02	NaN	TNFRSF9,TRAF1	
Cell Cycle Regulation by BTG Family Proteins	4.57E-01	6.06E-02	NaN	BTG2,PPM1J	
Xenobiotic Metabolism CAR Signaling Pathway	4.5E-01	4.62E-02	0.816	HS3ST3B1,HSP90AB1,HSP90B1,MAP2K3,PPM1J,PRKCB	
Mitotic Roles of Polo-Like Kinase	4.47E-01	5.26E-02	NaN	HSP90AB1,HSP90B1,PPM1J	
Salvage Pathways of Pyrimidine Ribonucleotides	4.38E-01	4.88E-02	2.000	APOBEC3B,CMPK1,MAP2K3,PRKX	
Guanosine Nucleotides Degradation III	4.37E-01	8.33E-02	NaN	XDH	
Wnt/Ca+ pathway	4.35E-01	5.17E-02	NaN	NFATC1,PLCG2,PPP3CA	
Choline Biosynthesis III	4.1E-01	7.69E-02	NaN	PLD3	
Urate Biosynthesis/Inosine 5'-phosphate Degradation	4.1E-01	7.69E-02	NaN	XDH	
Adenosine Nucleotides Degradation II	4.1E-01	7.69E-02	NaN	XDH	
SPINK1 Pancreatic Cancer Pathway	4.09E-01	5.56E-02	NaN	CTSA,SMAD3	
Hepatic Cholestasis	4.07E-01	4.35E-02	NaN	FASLG,IL18RAP,IRAK2,PRKACB,PRKAR1A,PRKCB,TNFRSF1B	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	3.99E-01	4.65E-02	2.000	PLCG2,PRKACB,PRKAR1A,PRKCB	
Human Embryonic Stem Cell Pluripotency	3.96E-01	4.38E-02	NaN	GNB1,PIK3CG,PIK3R1,PIK3R5,S1PR5,SMAD3	
G Protein Signaling Mediated by Tubby	3.95E-01	5.41E-02	NaN	GNB1,PLCG2	
p53 Signaling	3.9E-01	4.6E-02	-2.000	BCL2L1,PIK3CG,PIK3R1,PIK3R5	
Cardiomyocyte Differentiation via BMP Receptors	3.85E-01	7.14E-02	NaN	MEF2C	
The Visual Cycle	3.85E-01	7.14E-02	NaN	DHRS3	
Pregnenolone Biosynthesis	3.85E-01	7.14E-02	NaN	MICAL1	
HOTAIR Regulatory Pathway	3.82E-01	4.32E-02	2.449	CD44,ICAM1,PIK3CG,PIK3R1,PIK3R5,VIM	
Chondroitin Sulfate Biosynthesis	3.68E-01	5.13E-02	NaN	CHSY1,HS3ST3B1	
Granzyme B Signaling	3.63E-01	6.67E-02	NaN	PRF1	
Mismatch Repair in Eukaryotes	3.63E-01	6.67E-02	NaN	RFC2	
Chondroitin Sulfate Degradation (Metazoa)	3.63E-01	6.67E-02	NaN	ARSB	
Histidine Degradation VI	3.63E-01	6.67E-02	NaN	MICAL1	
Cell Cycle: G1/S Checkpoint Regulation	3.59E-01	4.62E-02	NaN	CCND3,RBL2,SMAD3	
Androgen Signaling	3.55E-01	4.2E-02	1.342	Calm1 (includes others),GNB1,PRKACB,PRKAR1A,PRKCB,SMAD3	
Antiproliferative Role of TOB in T Cell Signaling	3.55E-01	5E-02	NaN	FCER1G,SMAD3	
Apelin Muscle Signaling Pathway	3.55E-01	5E-02	NaN	GNB1,PRKAB1	
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	3.42E-01	6.25E-02	NaN	INPP5D	
Purine Nucleotides Degradation II (Aerobic)	3.42E-01	6.25E-02	NaN	XDH	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	3.42E-01	6.25E-02	NaN	INPP5D	
D-myo-inositol (1,4,5)-trisphosphate Degradation	3.42E-01	6.25E-02	NaN	INPP5D	
Dermatan Sulfate Biosynthesis	3.31E-01	4.76E-02	NaN	CHSY1,HS3ST3B1	
Stearate Biosynthesis I (Animals)	3.31E-01	4.76E-02	NaN	ACOT7,ELOVL1	
Ubiquinol-10 Biosynthesis (Eukaryotic)	3.23E-01	5.88E-02	NaN	MICAL1	
Putrescine Degradation III	3.23E-01	5.88E-02	NaN	SAT1	
Factors Promoting Cardiogenesis in Vertebrates	3.02E-01	4E-02	2.236	CAMK2G,MEF2C,PLCG2,PRKCB,RHOA	
Acute Phase Response Signaling	3.01E-01	3.95E-02	1.633	MAP2K3,MAP3K1,PIK3CG,PIK3R1,RAP1B,TNFRSF1B	
Role of MAPK Signaling in the Pathogenesis of Influenza	2.97E-01	4.17E-02	NaN	CCL5,MAP2K3,RAP1B	
GADD45 Signaling	2.89E-01	5.26E-02	NaN	CCND3	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	2.89E-01	5.26E-02	NaN	CMPK1	
Vitamin-C Transport	2.89E-01	5.26E-02	NaN	LRRC8C	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	2.89E-01	4E-02	2.000	ATP6V0A2,MAP2K3,RAP1B,TCIRG1	
Role of BRCA1 in DNA Damage Response	2.81E-01	4.05E-02	NaN	ACTB,RBL2,RFC2	
Gαs Signaling	2.77E-01	3.92E-02	2.000	ADORA2A,GNB1,PRKACB,PRKAR1A	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	2.69E-01	4.17E-02	NaN	YWHAB,YWHAQ	
White Adipose Tissue Browning Pathway	2.64E-01	3.85E-02	2.000	FCER1G,PRKAB1,PRKACB,PRKAR1A	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	2.6E-01	4.76E-02	NaN	INPP5D	
UVC-Induced MAPK Signaling	2.6E-01	4.08E-02	NaN	PRKCB,RAP1B	
Apelin Cardiac Fibroblast Signaling Pathway	2.6E-01	4.76E-02	NaN	PRKAB1	
Cyclins and Cell Cycle Regulation	2.53E-01	3.85E-02	NaN	CCND3,PPM1J,RBL2	
PXR/RXR Activation	2.52E-01	4E-02	NaN	PRKACB,PRKAR1A	
FAT10 Cancer Signaling Pathway	2.52E-01	4E-02	NaN	SMAD3,TNFRSF1B	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	2.47E-01	4.55E-02	NaN	PLCG2	
Role of CHK Proteins in Cell Cycle Checkpoint Control	2.43E-01	3.92E-02	NaN	PPM1J,RFC2	
Phospholipases	2.43E-01	3.92E-02	NaN	PLCG2,PLD3	
IL-17A Signaling in Gastric Cells	2.35E-01	4.35E-02	NaN	CCL5	
FAT10 Signaling Pathway	2.28E-01	3.77E-02	NaN	SQSTM1,UBA1	
Retinoate Biosynthesis I	2.13E-01	4E-02	NaN	DHRS3	
Retinol Biosynthesis	2.03E-01	3.85E-02	NaN	DHRS3	
NAD Signaling Pathway	-0E00	3.23E-02	2.000	PIK3CG,PIK3R1,PIK3R5,PRKAB1	
Synaptic Long Term Depression	-0E00	3.27E-02	1.342	LYN,PLCG2,PPM1J,PRKCB,RAP1B	
LPS/IL-1 Mediated Inhibition of RXR Function	-0E00	2.25E-02	NaN	HS3ST3B1,IL18RAP,MAP3K1,TNFRSF1B	
Coagulation System	-0E00	3.57E-02	NaN	F2R	
LXR/RXR Activation	-0E00	3.19E-02	NaN	IL18RAP,MYLIP,TNFRSF1B	
Mitochondrial Dysfunction	-0E00	2.05E-02	NaN	COX4I1,COX8A,XDH	
Activation of IRF by Cytosolic Pattern Recognition Receptors	-0E00	1.92E-02	NaN	SIKE1	
Airway Pathology in Chronic Obstructive Pulmonary Disease	-0E00	2.44E-02	NaN	FASLG,PRF1	
Airway Inflammation in Asthma	-0E00	3.57E-02	NaN	IFNGR1	
Maturity Onset Diabetes of Young (MODY) Signaling	-0E00	2.13E-02	NaN	GAPDH	
Polyamine Regulation in Colon Cancer	-0E00	3.45E-02	NaN	MXD1,SAT1	
DNA Methylation and Transcriptional Repression Signaling	-0E00	3.33E-02	NaN	MTA2	
ATM Signaling	-0E00	1.14E-02	NaN	PPM1J	
Primary Immunodeficiency Signaling	-0E00	2.78E-02	NaN	PTPRC	
Bladder Cancer Signaling	-0E00	2.06E-02	NaN	RAP1B,RBL2	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00	3.41E-02	NaN	FASLG,FCER1G,HLA-A	
TWEAK Signaling	-0E00	2.78E-02	NaN	TRAF1	
TNFR1 Signaling	-0E00	2.08E-02	NaN	MAP3K1	
Cell Cycle Control of Chromosomal Replication	-0E00	2E-02	NaN	MCM6	
Spliceosomal Cycle	-0E00	2.38E-02	NaN	HSPA8	
Role of IL-17F in Allergic Inflammatory Airway Diseases	-0E00	2.5E-02	NaN	CCL4	
Hematopoiesis from Pluripotent Stem Cells	-0E00	2.86E-02	NaN	FCER1G	
Transcriptional Regulatory Network in Embryonic Stem Cells	-0E00	2.86E-02	NaN	EOMES	
nNOS Signaling in Skeletal Muscle Cells	-0E00	2.86E-02	NaN	Calm1 (includes others)	
Heparan Sulfate Biosynthesis	-0E00	1.92E-02	NaN	HS3ST3B1	
Heparan Sulfate Biosynthesis (Late Stages)	-0E00	2.17E-02	NaN	HS3ST3B1	
Pyridoxal 5'-phosphate Salvage Pathway	-0E00	3.39E-02	NaN	MAP2K3,PRKX	
Triacylglycerol Degradation	-0E00	3.03E-02	NaN	ABHD2	
tRNA Charging	-0E00	2.7E-02	NaN	LARS2	
Dermatan Sulfate Biosynthesis (Late Stages)	-0E00	3.33E-02	NaN	HS3ST3B1	
Antioxidant Action of Vitamin C	-0E00	2.15E-02	NaN	PLCG2,PLD3	
Gαi Signaling	-0E00	3.51E-02	0.000	GNB1,PRKACB,PRKAR1A,RAP1B	
Oxidative Phosphorylation	-0E00	2.17E-02	NaN	COX4I1,COX8A	
Adipogenesis pathway	-0E00	3.31E-02	NaN	BSCL2,LPIN1,SMAD3,XBP1	
GABA Receptor Signaling	-0E00	2.13E-02	NaN	GABARAP,GNB1	
Wnt/β-catenin Signaling	-0E00	1.4E-02	NaN	CD44,PPM1J	
cAMP-mediated signaling	-0E00	3.7E-02	1.890	ADORA2A,Calm1 (includes others),CAMK2G,PPP3CA,PPP3CC,PRKACB,PRKAR1A	
Notch Signaling	-0E00	2.94E-02	NaN	NOTCH2	
Gustation Pathway	-0E00	3.57E-02	NaN	GNB1,P2RY10,PRKACB,PRKAR1A	
Sirtuin Signaling Pathway	-0E00	2.07E-02	NaN	ACLY,AGTRAP,GABARAP,GLUD1,TSPO	
NER (Nucleotide Excision Repair, Enhanced Pathway)	-0E00	2.13E-02	NaN	CETN2,RFC2	
BAG2 Signaling Pathway	-0E00	2.56E-02	NaN	ANXA2,HSPA8	
BEX2 Signaling Pathway	-0E00	2.9E-02	NaN	LGALS1,PPM1J	
Xenobiotic Metabolism AHR Signaling Pathway	-0E00	3.12E-02	NaN	HSP90AB1,HSP90B1	
Kinetochore Metaphase Signaling Pathway	-0E00	3.16E-02	NaN	H2AZ1,PPP1CA,PPP1R12A	
Eicosanoid Signaling	-0E00	1.79E-02	NaN	LTA4H	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	-0E00	2.99E-02	NaN	CCL5,MAP2K3	
