© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
FcγRIIB Signaling in B Lymphocytes	2.15E00	1.59E-01	1.667	FCGR2B,IGHM,INPP5D,LYN,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAP1B,SYK	
Angiopoietin Signaling	2.15E00	1.59E-01	1.134	DOK2,FOXO1,IKBKB,IKBKE,NCK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B,STAT5B	
Phagosome Maturation	2.15E00	1.32E-01	NaN	ATP6V0A2,ATP6V1D,B2M,CTSA,CTSB,CTSC,CTSD,CTSS,CTSW,HLA-A,HLA-E,M6PR,PRDX6,RAC2,TAP1,TCIRG1,TUBB	
Role of p14/p19ARF in Tumor Suppression	2.14E00	2.31E-01	-1.342	NPM1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,TP53	
Regulation of Cellular Mechanics by Calpain Protease	2.13E00	1.52E-01	2.000	CAPN2,CCND2,CCND3,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,RAP1B,TLN1	
Ferroptosis Signaling Pathway	2.13E00	1.38E-01	0.258	ARF1,ARF4,CTSB,DPP4,FTH1,G3BP1,H2AZ1,PRKAB1,RAP1B,RBL2,SAT1,SLC11A2,SQSTM1,SREBF2,TP53	
PEDF Signaling	2.09E00	1.5E-01	0.000	BCL2L1,CFLAR,FASLG,IKBKB,IKBKE,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B,RHOA,TP53	
Lymphotoxin β Receptor Signaling	2.08E00	1.73E-01	0.000	BCL2L1,IKBKB,IKBKE,LTB,PIK3CD,PIK3CG,PIK3R1,PIK3R5,TRAF1	
3-phosphoinositide Biosynthesis	2.06E00	1.2E-01	1.807	CDIPT,INPP5D,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PPM1H,PPM1J,PPP1CA,PPP1R11,PPP1R12A,PPP1R16B,PPP3CA,PPP3CC,PTPN2,PTPN22,PTPN6,PTPRC,SOCS3,SSH1,SSH2	
Endocannabinoid Cancer Inhibition Pathway	2.05E00	1.29E-01	-0.243	CASP1,CCND2,CCND3,CNR2,LEF1,MAP2K3,NSMAF,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PRKAB1,PRKACB,PRKAR1A,RHOA,Tcf7,VIM	
Non-Small Cell Lung Cancer Signaling	2.04E00	1.43E-01	1.414	CCND2,CCND3,HDAC4,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,RAP1B,RASSF5,RBL2,STK4,TP53	
Melatonin Signaling	2.04E00	1.61E-01	0.632	Calm1 (includes others),CAMK2G,CAMK4,MAP2K3,PLCG1,PLCG2,PRKACB,PRKAR1A,PRKCB,PRKCQ	
Leptin Signaling in Obesity	2.04E00	1.61E-01	1.633	FOXO1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKACB,PRKAR1A,SOCS3	
CNTF Signaling	2.03E00	1.7E-01	1.000	IL6ST,JAK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B,STAT1,TYK2	
Cellular Effects of Sildenafil (Viagra)	2.01E00	1.37E-01	NaN	ACTB,ACTG1,Calm1 (includes others),CAMK4,KCNN4,MYH9,MYL12B,MYL6,PDE4B,PLCG1,PLCG2,PPP1R12A,PRKACB,PRKAR1A	
Gluconeogenesis I	2.01E00	2.5E-01	0.447	ALDOA,ENO1,GAPDH,GPI,ME2	
IL-23 Signaling Pathway	1.97E00	1.78E-01	2.121	IL12RB2,PIK3CD,PIK3CG,PIK3R1,PIK3R5,SOCS3,STAT4,TYK2	
Small Cell Lung Cancer Signaling	1.97E00	1.4E-01	0.707	BCL2L1,CCND2,CCND3,HDAC4,IKBKB,IKBKE,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RBL2,TP53,TRAF1	
Apelin Endothelial Signaling Pathway	1.97E00	1.29E-01	2.324	Calm1 (includes others),CAMK4,GNB1,HDAC4,ICAM1,MEF2A,MEF2C,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PRKAB1,PRKCB,PRKCQ,RAP1B,SMAD3	
Ceramide Signaling	1.96E00	1.45E-01	0.905	CTSD,MAP3K1,NSMAF,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PPM1J,RAP1B,S1PR1,S1PR5,TNFRSF1B	
ErbB Signaling	1.96E00	1.45E-01	1.732	FOXO1,MAP2K3,NCK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKCB,PRKCQ,RAP1B	
Aldosterone Signaling in Epithelial Cells	1.9E00	1.24E-01	0.707	DNAJC1,DNAJC15,DNAJC7,HSP90AB1,HSP90B1,HSPA5,HSPA8,HSPA9,HSPH1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKCB,PRKCQ	
Mouse Embryonic Stem Cell Pluripotency	1.89E00	1.37E-01	0.832	ID2,ID3,IL6ST,JAK1,LEF1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B,Tcf7,TP53,TYK2	
Nitric Oxide Signaling in the Cardiovascular System	1.89E00	1.37E-01	1.387	ATP2A3,Calm1 (includes others),CAMK4,HSP90AB1,HSP90B1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PRKACB,PRKAR1A,PRKCB,PRKCQ	
Diphthamide Biosynthesis	1.87E00	6.67E-01	NaN	DPH5,EEF2	
HIPPO signaling	1.84E00	1.45E-01	-1.134	CD44,ITCH,MOB1A,PPM1J,PPP1CA,PPP1R11,PPP1R12A,SMAD3,STK4,YWHAB,YWHAQ	
Glioblastoma Multiforme Signaling	1.84E00	1.2E-01	1.604	CCND2,CCND3,Cdc42,FNBP1,FOXO1,LEF1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,RAC2,RAP1B,RHOA,RHOF,RHOH,TP53	
IGF-1 Signaling	1.82E00	1.34E-01	2.333	FOXO1,IGFBP4,JAK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PRKACB,PRKAR1A,RAP1B,SOCS3,YWHAB,YWHAQ	
Opioid Signaling Pathway	1.82E00	1.09E-01	2.041	Calm1 (includes others),CAMK2G,CAMK4,CLTC,FYN,GNB1,GRINA,LCK,LEF1,LYN,MAP2K3,PDK1,PIK3CG,PPP3CA,PPP3CC,PRKACB,PRKAR1A,PRKCB,PRKCQ,RAC2,RAP1B,RGS1,RGS10,RGS19,RGS3	
Role of JAK2 in Hormone-like Cytokine Signaling	1.76E00	1.94E-01	NaN	JAK1,PTPN6,SOCS3,STAT1,STAT5B,TYK2	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	1.69E00	1.5E-01	1.667	CASP1,CCL4,CCL5,IRF9,JAK1,PYCARD,S1PR1,STAT1,TYK2	
ErbB4 Signaling	1.69E00	1.5E-01	1.000	PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKCB,PRKCQ,RAP1B	
Calcium Signaling	1.68E00	1.15E-01	3.207	ATP2A3,ATP2B1,Calm1 (includes others),CAMK2G,CAMK4,GRINA,HDAC4,MEF2A,MEF2C,MYH9,MYL6,NFATC1,PPP3CA,PPP3CC,PRKACB,PRKAR1A,RAP1B,Tpm4	
MSP-RON Signaling In Cancer Cells Pathway	1.67E00	1.22E-01	1.807	ELF4,ETS1,FLNA,ITGB1,LEF1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PTK2B,RAP1B,Tcf7,VIM,YWHAB,YWHAQ	
Sumoylation Pathway	1.67E00	1.32E-01	-1.265	ARHGDIA,Cdc42,DAXX,ETS1,FASLG,FNBP1,RAC2,RFC2,RHOA,RHOF,RHOH,TP53	
Thyroid Cancer Signaling	1.64E00	1.41E-01	0.000	FOXO1,LEF1,PDK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B,Tcf7,TP53	
IL-17A Signaling in Airway Cells	1.64E00	1.48E-01	0.333	IKBKB,IKBKE,IL17RA,JAK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,TYK2	
Ephrin A Signaling	1.64E00	1.67E-01	NaN	CFL1,FYN,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RHOA	
Apelin Pancreas Signaling Pathway	1.64E00	1.67E-01	0.378	PIK3CD,PIK3CG,PIK3R1,PIK3R5,PRKAB1,PRKACB,PRKAR1A	
Apelin Cardiomyocyte Signaling Pathway	1.62E00	1.34E-01	1.508	ATP2A3,MYL12B,MYL6,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKCB,PRKCQ	
Cholecystokinin/Gastrin-mediated Signaling	1.59E00	1.25E-01	2.111	Cdc42,FNBP1,MAP2K3,MEF2A,MEF2C,PRKCB,PRKCQ,PTK2B,RAC2,RAP1B,RHOA,RHOF,RHOH	
Erythropoietin Signaling Pathway	1.57E00	1.14E-01	1.213	BCL2L1,CCND2,FASLG,LTB,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PRKCB,PRKCQ,PTPN6,RAC2,RAP1B,STAT5B,TNFSF8,TP53	
Induction of Apoptosis by HIV1	1.56E00	1.43E-01	-1.000	BCL2L1,DAXX,FASLG,IKBKB,IKBKE,SLC25A4,TNFRSF1B,TP53,TRAF1	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.55E00	1.12E-01	NaN	CCL5,CCR5,CCR7,FASLG,ICAM1,IFNGR1,IFNGR2,IGFBP4,IL10RA,IL18RAP,IL4R,IL6R,MYH9,MYL6,SMAD3,STAT1,TGFBR2,TNFRSF1B	
Type II Diabetes Mellitus Signaling	1.53E00	1.17E-01	0.277	ADIPOR1,IKBKB,IKBKE,MAP3K1,NSMAF,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PKM,PRKAB1,PRKCB,PRKCQ,SOCS3,TNFRSF1B	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.53E00	1.07E-01	NaN	Calm1 (includes others),CAMK4,CBL,FOXO1,IKBKB,IKBKE,IL18R1,IL18RAP,LEF1,MAP2K3,NFATC1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PPP3CA,PPP3CC,PTK2B,RUNX2,Tcf7,TNFRSF1B	
CD40 Signaling	1.52E00	1.41E-01	1.000	ICAM1,IKBKB,IKBKE,MAP2K3,PIK3CD,PIK3CG,PIK3R1,PIK3R5,TRAF1	
EGF Signaling	1.52E00	1.48E-01	0.707	JAK1,MAP3K1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,STAT1	
Protein Ubiquitination Pathway	1.52E00	1.02E-01	NaN	ANAPC5,B2M,CBL,DNAJC1,DNAJC15,DNAJC7,HLA-A,HLA-E,HSP90AB1,HSP90B1,HSPA5,HSPA8,HSPA9,HSPH1,PSMB8,PSME1,PSME2,RPS27A,TAP1,TAP2,UBA1,UBE2D3,UBE2G2,USP28,USP48	
PPARα/RXRα Activation	1.51E00	1.1E-01	1.500	ADIPOR1,HSP90AB1,HSP90B1,IKBKB,IKBKE,IL18RAP,MAP2K3,MEF2C,PLCG1,PLCG2,PRKAB1,PRKACB,PRKAR1A,PRKCB,RAP1B,SMAD3,STAT5B,TGFBR2	
D-myo-inositol-5-phosphate Metabolism	1.49E00	1.1E-01	1.732	INPP5D,PLCG1,PLCG2,PPM1H,PPM1J,PPP1CA,PPP1R11,PPP1R12A,PPP1R16B,PPP3CA,PPP3CC,PTPN2,PTPN22,PTPN6,PTPRC,SOCS3,SSH1,SSH2	
Melanocyte Development and Pigmentation Signaling	1.48E00	1.28E-01	2.111	KIT,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKACB,PRKAR1A,PTPN6,RAP1B	
Mechanisms of Viral Exit from Host Cells	1.46E00	1.67E-01	NaN	ACTB,ACTG1,PDCD6IP,PRKCB,PRKCQ,SH3GL1	
Docosahexaenoic Acid (DHA) Signaling	1.46E00	1.67E-01	NaN	BCL2L1,FOXO1,PIK3CD,PIK3CG,PIK3R1,PIK3R5	
Acute Myeloid Leukemia Signaling	1.45E00	1.26E-01	0.632	IDH2,KIT,LEF1,MAP2K3,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B,STAT5B,Tcf7	
Pancreatic Adenocarcinoma Signaling	1.45E00	1.17E-01	1.265	BCL2L1,HDAC4,JAK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLD3,RBL2,SMAD3,STAT1,TGFBR2,TP53,TYK2	
IL-12 Signaling and Production in Macrophages	1.44E00	1.19E-01	NaN	IFNGR1,IKBKB,IKBKE,IL12RB2,IRF8,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PRKCB,PRKCQ,STAT1,STAT4	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	1.43E00	1.14E-01	1.508	CASP1,CCL5,FASLG,LTB,NOD1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKCB,PRKCQ,SYK,TLR1,TNFSF8	
FLT3 Signaling in Hematopoietic Progenitor Cells	1.43E00	1.3E-01	0.632	CBL,INPP5D,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B,STAT1,STAT4,STAT5B	
Death Receptor Signaling	1.42E00	1.25E-01	0.302	ACTB,ACTG1,CFLAR,DAXX,FASLG,IKBKB,IKBKE,PARP11,SPTAN1,TNFRSF1B,TNFRSF25	
Apoptosis Signaling	1.42E00	1.21E-01	1.155	BCL2L1,CAPN2,FASLG,IKBKB,IKBKE,PLCG1,PLCG2,PRKCQ,RAP1B,SPTAN1,TNFRSF1B,TP53	
ErbB2-ErbB3 Signaling	1.4E00	1.4E-01	1.414	FOXO1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B,STAT5B,TYK2	
Netrin Signaling	1.4E00	1.4E-01	2.121	ABLIM1,NCK1,NFATC1,PPP3CA,PPP3CC,PRKACB,PRKAR1A,RAC2	
GDNF Family Ligand-Receptor Interactions	1.37E00	1.32E-01	1.667	DOK2,NCK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,RAP1B	
UVA-Induced MAPK Signaling	1.36E00	1.22E-01	0.707	BCL2L1,PARP11,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,RAP1B,STAT1,TP53	
UVB-Induced MAPK Signaling	1.35E00	1.46E-01	0.378	PIK3CD,PIK3CG,PIK3R1,PIK3R5,PRKCB,PRKCQ,TP53	
Endoplasmic Reticulum Stress Pathway	1.35E00	2E-01	1.000	ATF6,HSP90B1,HSPA5,XBP1	
CCR3 Signaling in Eosinophils	1.34E00	1.15E-01	1.134	Calm1 (includes others),CAMK4,CFL1,GNB1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PPP1R12A,PRKCB,PRKCQ,RAP1B,RHOA	
LPS-stimulated MAPK Signaling	1.33E00	1.25E-01	0.632	IKBKB,IKBKE,MAP2K3,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PRKCB,PRKCQ,RAP1B	
Dopamine-DARPP32 Feedback in cAMP Signaling	1.32E00	1.08E-01	1.291	ATP2A3,Calm1 (includes others),CAMK4,GRINA,PLCG1,PLCG2,PPM1J,PPP1CA,PPP1R11,PPP1R12A,PPP3CA,PPP3CC,PRKACB,PRKAR1A,PRKCB,PRKCQ	
Osteoarthritis Pathway	1.29E00	1.02E-01	1.604	ANXA2,CASP1,HDAC4,IL18RAP,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,LEF1,MEF2C,MYBBP1A,PRKAB1,RUNX2,SMAD3,Tcf7,TGFBR2,TNFRSF1B	
3-phosphoinositide Degradation	1.27E00	1.05E-01	1.732	INPP4B,INPP5D,PPM1H,PPM1J,PPP1CA,PPP1R11,PPP1R12A,PPP1R16B,PPP3CA,PPP3CC,PTPN2,PTPN22,PTPN6,PTPRC,SOCS3,SSH1,SSH2	
FAT10 Cancer Signaling Pathway	1.27E00	1.4E-01	-0.378	EEF1A1,IKBKB,IKBKE,SMAD3,TGFBR2,TNFRSF1B,TP53	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	1.26E00	1.06E-01	1.897	INPP5D,PPM1H,PPM1J,PPP1CA,PPP1R11,PPP1R12A,PPP1R16B,PPP3CA,PPP3CC,PTPN2,PTPN22,PTPN6,PTPRC,SOCS3,SSH1,SSH2	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	1.26E00	1.06E-01	1.897	INPP5D,PPM1H,PPM1J,PPP1CA,PPP1R11,PPP1R12A,PPP1R16B,PPP3CA,PPP3CC,PTPN2,PTPN22,PTPN6,PTPRC,SOCS3,SSH1,SSH2	
Autophagy	1.25E00	1.01E-01	0.894	Calm1 (includes others),CAMK4,DAPK2,FOXO1,GABARAP,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PPM1J,PPP3CA,PPP3CC,PRKAB1,PRKACB,PRKAR1A,PRKCQ,RGS19,SQSTM1,TNFRSF1B,TP53	
TR/RXR Activation	1.24E00	1.25E-01	NaN	CAMK4,ENO1,PFKP,PIK3CD,PIK3CG,PIK3R1,PIK3R5,SREBF2,UCP2	
IL-6 Signaling	1.24E00	1.11E-01	0.832	IKBKB,IKBKE,IL18RAP,IL6R,IL6ST,MAP2K3,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B,SOCS3,TNFRSF1B	
Cancer Drug Resistance By Drug Efflux	1.23E00	1.37E-01	NaN	FOXO1,PDK1,PIK3CD,PIK3CG,PIK3R1,RAP1B,TP53	
Hereditary Breast Cancer Signaling	1.23E00	1.09E-01	NaN	ACTB,ARID1A,CCND2,CCND3,HDAC4,NPM1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B,RFC2,RPS27A,TP53	
Oncostatin M Signaling	1.23E00	1.46E-01	0.000	IL6ST,JAK1,RAP1B,STAT1,STAT5B,TYK2	
Regulation of the Epithelial-Mesenchymal Transition Pathway	1.21E00	1.03E-01	NaN	ETS1,ID2,JAK1,LEF1,MAP2K3,NOTCH2,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B,RHOA,SMAD3,Tcf7,TGFBR2,TYK2,ZEB2	
G-Protein Coupled Receptor Signaling	1.21E00	9.66E-02	NaN	ADORA2A,CAMK2G,CAMK4,CNR2,FYN,IKBKB,IKBKE,PDE4B,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PRKACB,PRKAR1A,PRKCB,PTK2B,RAP1B,RAPGEF4,RASGRP1,RGS10,S1PR1,TBXA2R,VIPR1	
Huntington's Disease Signaling	1.2E00	9.56E-02	1.807	ATP5F1B,BCL2L1,CAPN2,CASP1,CLTC,CTSD,GNB1,HDAC4,HSPA5,HSPA8,HSPA9,PACSIN1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PRKCB,PRKCQ,PSMB8,PSME1,PSME2,RPS27A,SDHA,TP53	
Prostate Cancer Signaling	1.2E00	1.12E-01	NaN	FOXO1,HDAC4,HSP90AB1,HSP90B1,LEF1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B,RBL2,TP53	
Role of IL-17A in Arthritis	1.2E00	1.35E-01	NaN	CCL5,IL17RA,MAP2K3,PIK3CD,PIK3CG,PIK3R1,PIK3R5	
TNFR2 Signaling	1.19E00	1.56E-01	0.447	IKBKB,IKBKE,MAP3K1,TNFRSF1B,TRAF1	
Acetyl-CoA Biosynthesis III (from Citrate)	1.16E00	1E00	NaN	ACLY	
Thyroid Hormone Biosynthesis	1.16E00	1E00	NaN	CTSD	
Glutamate Biosynthesis II	1.16E00	1E00	NaN	GLUD1	
Glutamate Degradation X	1.16E00	1E00	NaN	GLUD1	
Neuroprotective Role of THOP1 in Alzheimer's Disease	1.12E00	1.18E-01	0.000	CMA1,DPP4,GZMA,Gzmb,HLA-A,HLA-E,IDE,PRKACB,PRKAR1A	
VEGF Family Ligand-Receptor Interactions	1.12E00	1.18E-01	1.000	PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKCB,PRKCQ,RAP1B	
Ephrin B Signaling	1.12E00	1.23E-01	-0.447	CAP1,CBL,CFL1,GNB1,HNRNPK,RAC2,RGS3,RHOA	
Sucrose Degradation V (Mammalian)	1.1E00	2.86E-01	NaN	ALDOA,TPI1	
PFKFB4 Signaling Pathway	1.1E00	1.36E-01	2.449	GPI,MAP2K3,PRKACB,PRKAR1A,TP53,XDH	
Corticotropin Releasing Hormone Signaling	1.1E00	1.06E-01	1.265	ARPC5,Calm1 (includes others),CAMK4,FASLG,MEF2A,MEF2C,PLCG1,PLCG2,PRKACB,PRKAR1A,PRKCB,PRKCQ,RAP1B	
NGF Signaling	1.08E00	1.07E-01	0.577	IKBKB,IKBKE,MAP3K1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,RAP1B,RHOA,TP53	
AMPK Signaling	1.08E00	9.57E-02	2.496	ACTB,AK3,ARID1A,EEF2,FOXO1,GNB1,MAP2K3,ORAI2,PFKP,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PPM1H,PPM1J,PRKAB1,PRKACB,PRKAR1A,RAB11A,RAB8A	
α-Adrenergic Signaling	1.08E00	1.12E-01	0.378	Calm1 (includes others),CAMK4,GNB1,PLCG1,PLCG2,PRKACB,PRKAR1A,PRKCB,PRKCQ,RAP1B	
BAG2 Signaling Pathway	1.07E00	1.15E-01	0.000	ANXA2,CTSB,HSPA5,HSPA8,HSPA9,PSMB8,PSME1,PSME2,TP53	
Endocannabinoid Developing Neuron Pathway	1.06E00	1.06E-01	1.897	CNR2,GNB1,MAP2K3,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PRKACB,PRKAR1A,RAC2,RAP1B,RHOA	
p38 MAPK Signaling	1.04E00	1.08E-01	1.667	DAXX,FASLG,IL18RAP,IRAK2,MAP2K3,MEF2A,MEF2C,STAT1,TGFBR2,TNFRSF1B,TP53	
P2Y Purigenic Receptor Signaling Pathway	1.04E00	1.05E-01	1.732	GNB1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKACB,PRKAR1A,PRKCB,PRKCQ,RAP1B	
SPINK1 Pancreatic Cancer Pathway	1.01E00	1.39E-01	0.447	CPM,CTSA,CTSB,SMAD3,TGFBR2	
IL-17 Signaling	1E00	1E-01	1.604	FASLG,HSP90AB1,HSP90B1,IL17RA,JAK1,LTB,MAP2K3,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B,SRSF1,TNFSF8	
Phosphatidylethanolamine Biosynthesis II	1E00	2.5E-01	NaN	ETNK1,PCYT2	
Oleate Biosynthesis II (Animals)	1E00	2.5E-01	NaN	CYB5A,Scd2	
Endometrial Cancer Signaling	9.96E-01	1.21E-01	1.342	LEF1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B,TP53	
Sertoli Cell-Sertoli Cell Junction Signaling	9.96E-01	9.6E-02	NaN	ACTB,ACTG1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,MAP2K3,MAP3K1,PRKACB,PRKAR1A,RAB8B,RAP1B,SPTAN1,TUBB	
Agrin Interactions at Neuromuscular Junction	9.67E-01	1.19E-01	2.449	ACTB,ACTG1,ITGA4,ITGB1,RAC2,RAP1B,UTRN	
Melanoma Signaling	9.63E-01	1.25E-01	1.633	PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B,TP53	
Estrogen Receptor Signaling	9.55E-01	8.67E-02	2.041	ATP5F1B,CFL1,DDX5,FOXO1,GNB1,HSP90AB1,HSP90B1,JAK1,MYL12B,MYL6,NDUFA10,NDUFA3,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PPP1R12A,PRKAB1,PRKACB,PRKAR1A,PRKCB,PRKCQ,RAP1B,RHOA,RUNX2,SDHA,TP53,TYK2	
Renal Cell Carcinoma Signaling	9.47E-01	1.13E-01	1.134	ETS1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B,RAPGEF1,RPS27A	
FGF Signaling	9.47E-01	1.13E-01	1.414	MAP2K3,MAP3K1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PTPN6	
Neurotrophin/TRK Signaling	9.47E-01	1.13E-01	0.707	MAP2K3,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,RAP1B,SPRY2	
Amyotrophic Lateral Sclerosis Signaling	9.14E-01	1.04E-01	0.632	BCL2L1,CAPN2,CASP1,GRINA,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PPP3CA,TP53	
Leukotriene Biosynthesis	9.1E-01	2.22E-01	NaN	LTA4H,MGST2	
Gap Junction Signaling	9.07E-01	9.41E-02	NaN	ACTB,ACTG1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PPP3CA,PPP3CC,PRKACB,PRKAR1A,PRKCB,PRKCQ,RAP1B,TUBB	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	9E-01	1.2E-01	1.633	CCL5,CCR5,PIK3CD,PIK3CG,PIK3R1,PIK3R5	
Xenobiotic Metabolism PXR Signaling Pathway	8.83E-01	9.7E-02	0.277	CAMK2G,DNAJC7,HS3ST3B1,HSP90AB1,HSP90B1,MGST2,PPP1CA,PPP1R11,PPP1R12A,PRKACB,PRKAR1A,PRKCB,PRKCQ	
Hypusine Biosynthesis	8.76E-01	5E-01	NaN	EIF5A	
Anandamide Degradation	8.76E-01	5E-01	NaN	FAAH	
S-adenosyl-L-methionine Biosynthesis	8.76E-01	5E-01	NaN	MAT2A	
GADD45 Signaling	8.6E-01	1.58E-01	NaN	CCND2,CCND3,TP53	
Inflammasome pathway	8.6E-01	1.58E-01	NaN	CASP1,CTSB,PYCARD	
p53 Signaling	8.48E-01	1.03E-01	-1.890	BCL2L1,CCND2,PIK3CD,PIK3CG,PIK3R1,PIK3R5,ST13,TP53,TP53INP1	
Calcium Transport I	8.33E-01	2E-01	NaN	ATP2A3,ATP2B1	
cAMP-mediated signaling	8.12E-01	8.99E-02	-0.258	ADORA2A,AKAP13,AKAP8,Calm1 (includes others),CAMK2G,CAMK4,CNR2,PDE4B,PPP3CA,PPP3CC,PRKACB,PRKAR1A,RAPGEF4,RGS10,S1PR1,TBXA2R,VIPR1	
Cell Cycle: G1/S Checkpoint Regulation	8.04E-01	1.08E-01	0.378	CCND2,CCND3,FOXO1,HDAC4,RBL2,SMAD3,TP53	
April Mediated Signaling	7.99E-01	1.19E-01	0.447	IKBKB,IKBKE,MAP3K1,NFATC1,TRAF1	
Inhibition of Angiogenesis by TSP1	7.93E-01	1.29E-01	0.000	CD47,FYN,TGFBR2,TP53	
B Cell Activating Factor Signaling	7.7E-01	1.16E-01	0.447	IKBKB,IKBKE,MAP3K1,NFATC1,TRAF1	
CD27 Signaling in Lymphocytes	7.59E-01	1.09E-01	0.000	BCL2L1,CD27,IKBKB,IKBKE,MAP2K3,MAP3K1	
Ovarian Cancer Signaling	7.35E-01	9.09E-02	1.890	CD44,HDAC4,LEF1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PRKACB,PRKAR1A,RAP1B,RBL2,Tcf7,TP53	
Antiproliferative Role of Somatostatin Receptor 2	7.33E-01	1.03E-01	1.134	GNB1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PTPN6,RAP1B	
Iron homeostasis signaling pathway	7.28E-01	9.32E-02	NaN	ATP6V0A2,ATP6V1D,FTH1,HSPA9,IL6R,JAK1,SLC11A2,SMAD3,STAT5B,TCIRG1,TYK2	
