© 2000-2023 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Necroptosis Signaling Pathway	1.43E00	9.15E-02	NaN	CAMK2B,CAMK2G,CAPN2,CAPN5,CASP1,DNM1L,FASLG,GLUL,JAK1,MLKL,PPP3CA,TAB2,TLR4	
HIF1α Signaling	1.43E00	8.46E-02	NaN	CAMK1,CAMK2B,CAMK2G,HK3,HSPA2,MAPK3,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,RAC3,RAP2A,RAP2B,VEGFC	
Mitochondrial Dysfunction	1.43E00	7.69E-02	NaN	ATF4,BID,CACNB4,Calm1 (includes others),CAMK2B,CAMK2G,CAPN2,CAPN5,CASP9,COX6A2,CREB5,DMAC2L,DNM1L,GPD2,GPX7,GPX8,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPARGC1A,PPP3CA,PRKAB1,PRKACB,SIRT3	
Circadian Rhythm Signaling	1.42E00	7.98E-02	NaN	ADRB1,ATF4,BHLHE40,CACNB4,CAMK2B,CAMK2G,CREB5,FYN,GNAS,GNB1,LYN,MAPK3,NFIL3,NR1D2,PER2,PLCG2,PRKAB1,PRKACB,RAP2A,RAP2B,RYR3	
MYC Mediated Apoptosis Signaling	1.41E00	1.25E-01	NaN	ADRB1,BID,CASP9,FASLG,NFKB1,PRKACB	
Granzyme B Signaling	1.39E00	2E-01	NaN	BID,CASP9,PRF1	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	1.39E00	2E-01	NaN	CCL4,CCL5,CSF2	
Synaptic Long Term Potentiation	1.38E00	9.23E-02	NaN	ATF4,Calm1 (includes others),CAMK2B,CAMK2G,CREB5,MAPK3,PLCG2,PPP1R12A,PPP3CA,PRKACB,RAP2A,RAP2B	
Gα12/13 Signaling	1.38E00	9.23E-02	NaN	CDH22,MAPK3,MEF2A,MEF2C,MYL12B,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B	
Dilated Cardiomyopathy Signaling Pathway	1.35E00	8.9E-02	NaN	ADRB1,CACNB4,CAMK1,CAMK2B,CAMK2G,CASP9,GNAS,ILK,MAPK3,MYH8,PDE2A,PRKACB,TNNI1	
ILK Signaling	1.35E00	8.38E-02	NaN	ATF4,CREB5,ILK,ITGB1,MAPK3,MYH8,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPP1R12A,RAC3,RHOB,RHOQ,VEGFC	
Systemic Lupus Erythematosus in B Cell Signaling Pathway	1.34E00	7.06E-02	NaN	Calm1 (includes others),CD22,CD72,CSF2,FASLG,FCGR2A,FCGR2B,FYN,IFNG,IFNGR1,Ighv6-3,Igkv14-111,IL15,JAK1,LILRB4,LYN,MAPK3,NFKB1,PIK3AP1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,RAC3,RAP2A,RAP2B,SOS2,SYK,SYNJ1,TGFB3,TNFRSF13C,TNFSF12,TRAF1,TYK2	
Iron homeostasis signaling pathway	1.34E00	9.09E-02	NaN	ABCB10,ATP6V1E1,CDC34,CUL1,JAK1,MAPK3,PDGFB,SMAD3,STEAP3,TCIRG1,TMPRSS6,TYK2	
TNFR1 Signaling	1.33E00	1.2E-01	NaN	BID,CASP9,NAIP,Naip1 (includes others),NFKB1,XIAP	
Transcriptional Regulatory Network in Embryonic Stem Cells	1.33E00	8.64E-02	NaN	EOMES,FZD5,JAK1,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SMAD3,TGFB3,TYK2,ZFHX3	
Antiproliferative Role of Somatostatin Receptor 2	1.31E00	1.04E-01	NaN	GNB1,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B	
Thyroid Cancer Signaling	1.31E00	1.04E-01	NaN	MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,TCF4	
Xenobiotic Metabolism Signaling	1.3E00	7.75E-02	NaN	CAMK1,CAMK2B,CAMK2G,CHST11,CHST12,GSTA3,GSTM4,GSTM5,MAPK3,NFKB1,NQO2,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPARGC1A,RAP2A,RAP2B,SULT2B1,UGT1A6,Ugt1a7c	
ERBB Signaling	1.3E00	9.89E-02	NaN	MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAP2A,RAP2B,SOS2	
Role of p14/p19ARF in Tumor Suppression	1.29E00	1.48E-01	NaN	PIK3CB,PIK3CG,PIK3R1,PIK3R5	
Estrogen Receptor Signaling	1.29E00	7.25E-02	NaN	ATF4,CACNB4,CREB5,CTBP2,ESR1,GNAS,GNB1,HES1,JAK1,MAPK3,MED12L,MED6,MYL12B,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPARGC1A,PPP1R12A,PRKAB1,PRKACB,RAP2A,RAP2B,RUNX2,SOS2,TYK2,VEGFC	
Role of JAK family kinases in IL-6-type Cytokine Signaling	1.28E00	1.03E-01	NaN	ADAM17,JAK1,JUNB,MAPK3,PIAS3,TGFB3,TYK2,VEGFC	
Glutamine Biosynthesis I	1.28E00	1E00	NaN	GLUL	
Glutamate Removal from Folates	1.28E00	1E00	NaN	GGH	
Sorbitol Degradation I	1.28E00	1E00	NaN	SORD	
Hepatic Cholestasis	1.27E00	8.33E-02	NaN	CSF2,ESR1,FASLG,IFNG,IL15,IL18RAP,IL1RAP,LY96,NFKB1,PRKACB,TGFB3,TIRAP,TJP2,TLR4,TNFSF12	
Relaxin Signaling	1.26E00	8.61E-02	NaN	ENPP1,GNAS,GNB1,MAPK3,NFKB1,PDE1C,PDE2A,PDE4A,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PRKACB	
Xenobiotic Metabolism AHR Signaling Pathway	1.25E00	1.01E-01	NaN	ABCG2,GSTA3,GSTM4,GSTM5,NFKB1,NQO2,UGT1A6,Ugt1a7c	
Non-Small Cell Lung Cancer Signaling	1.25E00	9.68E-02	NaN	CASP9,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SOS2	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	1.24E00	9.02E-02	NaN	FZD5,JAK1,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SOS2,TYK2	
Airway Inflammation in Asthma	1.24E00	1.43E-01	NaN	CSF2,IFNG,IFNGR1,TGFB3	
WNT/Ca+ pathway	1.24E00	1.06E-01	NaN	ATF4,CREB5,FZD5,NFKB1,PLCG2,PPP3CA,ROR1	
Glucocorticoid Receptor Signaling	1.22E00	6.9E-02	NaN	ANXA1,CCL5,CSF2,ESR1,HLA-A,HSPA2,IFNG,IL10RA,IL10RB,IL12RB2,IL18R1,IL18RAP,IL20RB,IL3RA,JAK1,KRT86,MAPK3,NFKB1,NR3C2,PIK3CB,PIK3CG,PIK3R1,PIK3R5,POLR2E,POLR2I,PPP3CA,PRKAB1,PRKACB,RAP2A,RAP2B,SMAD3,SMARCD3,SOS2,TAF4,TGFB3,TYK2	
Small Cell Lung Cancer Signaling	1.2E00	9.47E-02	NaN	BID,CASP9,NFKB1,PIAS3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,TRAF1	
Epithelial Adherens Junction Signaling	1.2E00	8.44E-02	NaN	AFDN,ARPC3,CTNNA1,DIAPH1,FER,FYN,MYL12B,NOTCH2,PRKAB1,RAP2A,RAP2B,TCF4,YWHAQ	
Neuroprotective Role of THOP1 in Alzheimer's Disease	1.19E00	9.09E-02	NaN	CMA1,GZMA,Gzmb,GZMK,GZMM,HLA-A,IDE,IFNG,PRKACB,PRSS2	
Orexin Signaling Pathway	1.19E00	7.76E-02	NaN	ATP6V1E1,CACNB4,Calm1 (includes others),CAMK2B,GNAS,GNB1,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PLD1,PPARGC1A,PRKAB1,PRKACB,TCIRG1	
IL-6 Signaling	1.18E00	8.8E-02	NaN	IL18RAP,IL1RAP,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SOS2	
mTOR Signaling	1.17E00	7.92E-02	NaN	EIF3J,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLD1,PRKAB1,PRR5,PRR5L,RAC3,RAP2A,RAP2B,RHOB,RHOQ,VEGFC	
Oncostatin M Signaling	1.17E00	1.19E-01	NaN	JAK1,MAPK3,RAP2A,RAP2B,TYK2	
UVA-Induced MAPK Signaling	1.16E00	9.28E-02	NaN	CASP9,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAP2A,RAP2B	
Cholecystokinin/Gastrin-mediated Signaling	1.13E00	8.85E-02	NaN	CREM,MAPK3,MEF2A,MEF2C,RAC3,RAP2A,RAP2B,RHOB,RHOQ,SOS2	
CCR3 Signaling in Eosinophils	1.13E00	8.59E-02	NaN	Calm1 (includes others),GNAS,GNB1,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPP1R12A,RAP2A,RAP2B	
Interferon Signaling	1.11E00	1.29E-01	NaN	IFNG,IFNGR1,JAK1,TYK2	
p38 MAPK Signaling	1.11E00	8.77E-02	NaN	ATF4,CREB5,EEF2K,FASLG,IL18RAP,IL1RAP,MEF2A,MEF2C,TAB2,TGFB3	
DHCR24 Signaling Pathway	1.11E00	8.53E-02	NaN	CYP17A1,ESR1,NFKB1,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PON3,RAP2A,RAP2B	
FGF Signaling	1.08E00	9.3E-02	NaN	ATF4,CREB5,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,SOS2	
Ribonucleotide Reductase Signaling Pathway	1.08E00	8.07E-02	NaN	ATF4,CASP9,CDC34,CREB5,CUL1,ESR1,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,SMARCD3	
SNARE Signaling Pathway	1.07E00	8.4E-02	NaN	CACNB4,Calm1 (includes others),CAMK2B,CAMK2G,GOSR1,MYH8,PRKACB,RAB11A,RAB1A,STXBP5,VAMP3	
Glutathione-mediated Detoxification	1.07E00	1.25E-01	NaN	GGH,GSTA3,GSTM4,GSTM5	
WNK Renal Signaling Pathway	1.05E00	8.82E-02	NaN	Calm1 (includes others),CUL1,KCNJ1,NR3C2,PIK3CB,PIK3CG,PIK3R1,PIK3R5,XIAP	
ERK5 Signaling	1.05E00	9.59E-02	NaN	ATF4,CREB5,MEF2A,MEF2C,RAP2A,RAP2B,YWHAQ	
Pulmonary Healing Signaling Pathway	1.04E00	7.69E-02	NaN	CSF2,FYN,FZD5,LYN,MAPK3,NFKB1,NOTCH2,PRKAB1,RAP2A,RAP2B,SOS2,TCF4,TGFB3,TLR4,VEGFC	
Ephrin A Signaling	1.03E00	1.09E-01	NaN	FYN,PIK3CB,PIK3CG,PIK3R1,PIK3R5	
4-1BB Signaling in T Lymphocytes	1.03E00	1.21E-01	NaN	MAPK3,NFKB1,TNFRSF9,TRAF1	
Nucleotide Excision Repair Pathway	1.03E00	1.21E-01	NaN	POLR2E,POLR2I,RPA2,RPA3	
Multiple Sclerosis Signaling Pathway	1.03E00	7.65E-02	NaN	BID,CAPN2,CAPN5,CASP1,CSF2,FASLG,HLA-A,IFNG,IFNGR1,IL15,MAPK3,NFKB1,TGFB3,TLR4,TNFSF12	
Granulocyte Adhesion and Diapedesis	1.02E00	7.88E-02	NaN	CCL3L3,CCL4,CCL5,Ccl9,CCR5,HRH2,IL18RAP,IL1RAP,ITGA4,ITGAM,ITGB1,SDC4,SELPLG	
RHOA Signaling	1.01E00	8.4E-02	NaN	ARHGAP6,ARPC3,CDC42EP3,MYL12B,PLD1,PLEKHG5,PPP1R12A,RHPN1,SEPTIN11,SEPTIN4	
Telomerase Signaling	1.01E00	8.65E-02	NaN	ELF4,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SOS2	
Leptin Signaling in Obesity	1E00	9.33E-02	NaN	MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB	
MIF-mediated Glucocorticoid Regulation	9.93E-01	1.18E-01	NaN	LY96,MAPK3,NFKB1,TLR4	
PPAR Signaling	9.93E-01	8.57E-02	NaN	IL18RAP,IL1RAP,MAPK3,NFKB1,PDGFB,PPARGC1A,RAP2A,RAP2B,SOS2	
UDP-D-xylose and UDP-D-glucuronate Biosynthesis	9.89E-01	5E-01	NaN	UGDH	
Thyroid Hormone Biosynthesis	9.89E-01	5E-01	NaN	CTSD	
Glycerol-3-phosphate Shuttle	9.89E-01	5E-01	NaN	GPD2	
G-Protein Coupled Receptor Signaling	9.76E-01	6.41E-02	NaN	ADGRL4,ADRB1,ATF4,Calm1 (includes others),CAMK2B,CAMK2G,CCR5,CMKLR1,CREB5,CX3CR1,ENPP1,FYN,FZD5,GNAS,GNB1,GPR137B,GPR160,GPR171,GPRC5A,GRK5,HRH2,MAPK3,MEF2A,MEF2C,MYL12B,NFKB1,P2RY14,PDE1C,PDE2A,PDE4A,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,PRKACB,RAC3,RAP2A,RAP2B,RGS18,S1PR5,SOS2	
Glutaminergic Receptor Signaling Pathway (Enhanced)	9.75E-01	7.01E-02	NaN	ATF4,CACNB4,Calm1 (includes others),CAMK2B,CAMK2G,CREB5,GLUL,GNAS,GOSR1,KCNK10,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PLD1,PPP3CA,PRKACB,TGFB3,VAMP3	
α-Adrenergic Signaling	9.74E-01	8.49E-02	NaN	Calm1 (includes others),GNAS,GNB1,MAPK3,PHKA2,PLCG2,PRKACB,RAP2A,RAP2B	
Aldosterone Signaling in Epithelial Cells	9.73E-01	7.74E-02	NaN	DNAJB4,DNAJC25,HSPA13,HSPA2,KCNJ8,MAPK3,NR3C2,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,SOS2	
Breast Cancer Regulation by Stathmin1	9.73E-01	6.51E-02	NaN	ADGRL4,ADRB1,ARHGEF2,ATF4,CAMK1,CAMK2B,CAMK2G,CCR5,CMKLR1,CREB5,CX3CR1,FZD5,GNB1,GPR137B,GPR160,GPR171,GPRC5A,HRH2,MAPK3,NFKB1,P2RY14,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPP1R12A,PRKACB,RAC3,RAP2A,RAP2B,S1PR5,SOS2,TUBA8,TUBB6,UHMK1,VEGFC	
Activin Inhibin Signaling Pathway	9.71E-01	7.5E-02	NaN	ABHD5,FOSL2,IL18RAP,IL1RAP,MAPK3,MXD1,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,SMAD3,TCF4,TGFB3,TLR4	
Role of Tissue Factor in Cancer	9.71E-01	7.5E-02	NaN	CSF2,FYN,ITGB1,LYN,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PRSS2,RAP2A,RAP2B,TGFB3,VEGFC	
T Cell Exhaustion Signaling Pathway	9.58E-01	6.88E-02	NaN	EOMES,FCER1G,HLA-A,IFNG,IL10RA,IL10RB,IL12RB2,JAK1,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRDM1,RAP2A,RAP2B,SMAD3,STAT4,TBX21,Trbd1,Trbj1-1,Trbj1-2,TYK2	
Endothelin-1 Signaling	9.44E-01	7.53E-02	NaN	CASP1,CASP4,CASP9,GNAS,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PLD1,PTGS1,RAP2A,RAP2B	
GNRH Signaling	9.44E-01	7.53E-02	NaN	ATF4,CACNB4,Calm1 (includes others),CAMK2B,CAMK2G,CREB5,GNAS,GNB1,MAPK3,NFKB1,PRKACB,RAP2A,RAP2B,SOS2	
TR/RXR Activation	9.43E-01	8.13E-02	NaN	ADRB1,DAPK2,ITGA5,PFKP,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPARGC1A,VEGFC	
Senescence Pathway	9.42E-01	7.04E-02	NaN	BHLHE40,CACNB4,Calm1 (includes others),CAPN2,CAPN5,CGAS,ELF4,GADD45G,MAPK3,NF1,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPP3CA,RAP2A,RAP2B,SMAD3,TGFB3	
Hereditary Breast Cancer Signaling	9.36E-01	7.91E-02	NaN	GADD45G,PIK3CB,PIK3CG,PIK3R1,PIK3R5,POLR2E,POLR2I,RAP2A,RAP2B,RFC2,SMARCD3	
VDR/RXR Activation	9.36E-01	8.97E-02	NaN	CCL5,CSF2,HES1,IFNG,MXD1,RUNX2,SPP1	
NRF2-mediated Oxidative Stress Response	9.34E-01	7.31E-02	NaN	ATF4,CDC34,DNAJB4,GSTA3,GSTM4,GSTM5,JUNB,MAPK3,NQO2,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPIB,RAP2A,RAP2B	
Pulmonary Fibrosis Idiopathic Signaling Pathway	9.34E-01	6.92E-02	NaN	COL19A1,COL8A2,FZD5,HES1,ILK,ITGA2,ITGB1,MAPK3,NFKB1,NOTCH2,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SMAD3,SOS2,TCF4,TGFB3,TYK2	
Ovarian Cancer Signaling	9.32E-01	7.74E-02	NaN	FZD5,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PRKACB,PTGS1,RAP2A,RAP2B,TCF4,VEGFC	
Leukocyte Extravasation Signaling	9.3E-01	7.49E-02	NaN	AFDN,ARHGAP6,CTNNA1,FER,ITGA2,ITGA4,ITGAM,ITGB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,SELPLG	
IL-17A Signaling in Gastric Cells	9.28E-01	1.3E-01	NaN	CCL5,MAPK3,NFKB1	
Death Receptor Signaling	9.14E-01	8.51E-02	NaN	BID,CASP9,FASLG,NAIP,Naip1 (includes others),NFKB1,TNFSF12,XIAP	
Notch Signaling	8.92E-01	1.08E-01	NaN	ADAM17,HES1,MAG,NOTCH2	
γ-glutamyl Cycle	8.9E-01	1.67E-01	NaN	GGCT,OPLAH	
UDP-N-acetyl-D-galactosamine Biosynthesis II	8.9E-01	1.67E-01	NaN	GNPDA2,HK3	
Cellular Effects of Sildenafil (Viagra)	8.89E-01	7.75E-02	NaN	CACNB4,Calm1 (includes others),GNAS,MYH8,MYL12B,PDE1C,PDE2A,PDE4A,PLCG2,PPP1R12A,PRKACB	
UVB-Induced MAPK Signaling	8.89E-01	9.8E-02	NaN	MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5	
Xenobiotic Metabolism PXR Signaling Pathway	8.89E-01	7.47E-02	NaN	CAMK2B,CAMK2G,CHST11,CHST12,GSTA3,GSTM4,GSTM5,PPARGC1A,PPP1R12A,PRKACB,SULT2B1,UGT1A6,Ugt1a7c	
G Beta Gamma Signaling	8.77E-01	7.87E-02	NaN	CACNB4,GNAS,GNB1,MAPK3,PIK3CG,PLCG2,PRKACB,RAP2A,RAP2B,SOS2	
FAK Signaling	8.7E-01	6.17E-02	NaN	ADGRL4,ADRB1,ARPC3,CAPN2,CAPN5,CCR5,CMKLR1,CX3CR1,ELF4,FCER1G,FYN,FZD5,GPR137B,GPR160,GPR171,GPRC5A,HRH2,IL10RA,IL10RB,IL12RB2,IL18R1,IL18RAP,IL20RB,IL3RA,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,KIT,KLF8,MAPK3,NFKB1,P2RY14,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PTPN12,RAP2A,RAP2B,S1PR5,SDCBP,SOS2,TCF4,TGFB3,Trbd1,Trbj1-1,Trbj1-2	
Ferroptosis Signaling Pathway	8.62E-01	7.81E-02	NaN	AIFM2,ARF6,ATF4,BID,H2AZ1,MAPK3,PRKAB1,RAP2A,RAP2B,STEAP3	
Sumoylation Pathway	8.58E-01	8.25E-02	NaN	CTBP2,FASLG,NFKB1,RAC3,RFC2,RHOB,RHOQ,XIAP	
Agrin Interactions at Neuromuscular Junction	8.53E-01	8.96E-02	NaN	ITGA4,ITGB1,MAPK3,RAC3,RAP2A,RAP2B	
Granzyme A Signaling	8.53E-01	8.96E-02	NaN	CASP1,GZMA,H1-3,H1f4,PRF1,Serpinb6b	
Growth Hormone Signaling	8.31E-01	8.82E-02	NaN	MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2	
Serine Biosynthesis	8.25E-01	3.33E-01	NaN	UBAC2	
Proline Degradation	8.25E-01	3.33E-01	NaN	PRODH	
N-acetylglucosamine Degradation I	8.25E-01	3.33E-01	NaN	GNPDA2	
Melatonin Signaling	8.1E-01	8.7E-02	NaN	Calm1 (includes others),CAMK2B,CAMK2G,MAPK3,PLCG2,PRKACB	
Aryl Hydrocarbon Receptor Signaling	8.03E-01	7.43E-02	NaN	CTSD,ESR1,FASLG,GSTA3,GSTM4,GSTM5,MAPK3,NFIA,NFKB1,NQO2,TGFB3	
Corticotropin Releasing Hormone Signaling	8.03E-01	7.43E-02	NaN	ATF4,CACNB4,Calm1 (includes others),CREB5,FASLG,GNAS,MAPK3,MEF2A,MEF2C,PLCG2,PRKACB	
Chondroitin Sulfate Biosynthesis	7.9E-01	9.09E-02	NaN	B4GALT7,CHST11,CHST12,CHSY1,SULT2B1	
CLEAR Signaling Pathway	7.9E-01	6.74E-02	NaN	ATF4,ATP6V1E1,BNIP3,CREB5,CTSD,GNPTG,KCNIP3,MAPK3,PDGFB,PPARGC1A,PPP3CA,PRKAB1,RAP2A,RAP2B,RRAGC,TCIRG1,TLR4,VPS8,YWHAQ	
Leukotriene Biosynthesis	7.8E-01	1.43E-01	NaN	GSTM4,LTA4H	
Colanic Acid Building Blocks Biosynthesis	7.8E-01	1.43E-01	NaN	UGDH,UGP2	
Apelin Adipocyte Signaling Pathway	7.78E-01	8.14E-02	NaN	GPX7,GPX8,MAPK3,PPARGC1A,PRKAB1,PRKACB,RAC3	
BMP signaling pathway	7.6E-01	8.05E-02	NaN	MAPK3,NFKB1,PRKACB,RAP2A,RAP2B,RUNX2,XIAP	
MIF Regulation of Innate Immunity	7.49E-01	9.52E-02	NaN	LY96,MAPK3,NFKB1,TLR4	
Dermatan Sulfate Biosynthesis	7.45E-01	8.77E-02	NaN	B4GALT7,CHST11,CHST12,CHSY1,SULT2B1	
Coronavirus Pathogenesis Pathway	7.38E-01	6.99E-02	NaN	ADAM17,ATF4,CASP1,CASP9,CCL5,FASLG,IFNG,JAK1,MAPK3,NFKB1,NPC1,SMAD3,TYK2	
Systemic Lupus Erythematosus in T Cell Signaling Pathway	7.36E-01	6.34E-02	NaN	ATF4,CASP1,CASP4,CASP9,CREB5,CREM,ESR1,FASLG,FCER1G,HLA-A,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPP3CA,RAC3,RAP2A,RAP2B,RHOB,RHOQ,SELPLG,SOS2,SYK,Trbd1,Trbj1-1,Trbj1-2	
BER (Base Excision Repair) Pathway	7.24E-01	9.3E-02	NaN	ARL6IP5,MAPK3,NF1,RFC2	
Toll-like Receptor Signaling	7.13E-01	8.11E-02	NaN	LY96,NFKB1,TAB2,TIRAP,TLR4,TRAF1	
D-glucuronate Degradation I	7.11E-01	2.5E-01	NaN	DCXR	
tRNA Splicing	6.99E-01	9.09E-02	NaN	ENPP1,PDE1C,PDE2A,PDE4A	
Gαs Signaling	6.99E-01	7.32E-02	NaN	ADRB1,ATF4,CREB5,GNAS,GNB1,HRH2,MAPK3,PRKACB,RYR3	
Chondroitin Sulfate Degradation (Metazoa)	6.89E-01	1.25E-01	NaN	ARSB,CEMIP2	
HOTAIR Regulatory Pathway	6.87E-01	7.01E-02	NaN	DZIP3,ESR1,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,SPP1,TCF4,TLR4,XIAP	
nNOS Signaling in Neurons	6.76E-01	8.89E-02	NaN	Calm1 (includes others),CAPN2,CAPN5,PPP3CA	
Adrenergic Receptor Signaling Pathway (Enhanced)	6.72E-01	6.77E-02	NaN	ADRB1,ATP6V1E1,CACNB4,CSF2,FASLG,GNAS,IFNG,IL15,PLCG2,PRKACB,TCIRG1,TGFB3,TNFSF12	
BEX2 Signaling Pathway	6.6E-01	7.79E-02	NaN	LGALS1,NFKB1,PLXNC1,SPP1,TCF4,VEGFC	
p53 Signaling	6.46E-01	7.45E-02	NaN	GADD45G,PIDD1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,SERPINE2	
TGF-β Signaling	6.46E-01	7.45E-02	NaN	MAPK3,RAP2A,RAP2B,RUNX2,SMAD3,SOS2,TGFB3	
Adrenomedullin signaling pathway	6.41E-01	6.67E-02	NaN	Calm1 (includes others),GNAS,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB,RAP2A,RAP2B,SOS2	
Chondroitin Sulfate Biosynthesis (Late Stages)	6.31E-01	8.51E-02	NaN	CHST11,CHST12,CHSY1,SULT2B1	
Arsenate Detoxification I (Glutaredoxin)	6.25E-01	2E-01	NaN	AS3MT	
Superpathway of Serine and Glycine Biosynthesis I	6.25E-01	2E-01	NaN	UBAC2	
CMP-N-acetylneuraminate Biosynthesis I (Eukaryotes)	6.25E-01	2E-01	NaN	NAGK	
CDK5 Signaling	6.25E-01	7.14E-02	NaN	GNAS,ITGA2,ITGB1,MAPK3,PPP1R12A,PRKACB,RAP2A,RAP2B	
B Cell Receptor Signaling	6.23E-01	6.11E-02	NaN	ATF4,Calm1 (includes others),CAMK2B,CAMK2G,CD22,CREB5,FCGR2A,FCGR2B,GAB2,Ighv6-3,Igkv14-111,LYN,MAPK3,MEF2C,NFKB1,PIK3AP1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,RAP2A,RAP2B,SOS2,SYK,SYNJ1	
Androgen Signaling	6.19E-01	6.75E-02	NaN	CACNB4,Calm1 (includes others),GNAS,GNB1,MAPK3,NFKB1,POLR2E,POLR2I,PRKACB,SMAD3,TAF4	
Apelin Muscle Signaling Pathway	6.11E-01	8.33E-02	NaN	GNAS,GNB1,PPARGC1A,PRKAB1	
Dopamine-DARPP32 Feedback in cAMP Signaling	6.09E-01	6.63E-02	NaN	ATF4,CACNB4,Calm1 (includes others),CREB5,CREM,GNAS,KCNJ1,KCNJ8,PLCG2,PPP1R12A,PPP3CA,PRKACB	
Apelin Cardiomyocyte Signaling Pathway	6.03E-01	7.22E-02	NaN	MAPK3,MYL12B,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2	
Human Embryonic Stem Cell Pluripotency	6.01E-01	6.53E-02	NaN	FZD5,JAK1,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SMAD3,SOS2,TGFB3,TYK2	
Amyloid Processing	5.71E-01	8E-02	NaN	CAPN2,CAPN5,MAPK3,PRKACB	
FAT10 Cancer Signaling Pathway	5.71E-01	8E-02	NaN	IFNG,NFKB1,SMAD3,TGFB3	
Type II Diabetes Mellitus Signaling	5.64E-01	6.62E-02	NaN	ADIPOR1,CACNB4,MAPK3,NFKB1,NSMAF,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PRKAB1	
Trehalose Degradation II (Trehalase)	5.57E-01	1.67E-01	NaN	HK3	
Chondroitin and Dermatan Biosynthesis	5.57E-01	1.67E-01	NaN	CHSY1	
Pentose Phosphate Pathway (Non-oxidative Branch)	5.57E-01	1.67E-01	NaN	RPIA	
